title,authors,average_rating
Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free,Sophie Braimbridge/Erica Jankovich,2.62
Me vs. Me,Sarah Mlynowski,3.67
Spells & Sleeping Bags (Magic in Manhattan  #3),Sarah Mlynowski,4.05
Bras & Broomsticks (Magic in Manhattan  #1),Sarah Mlynowski,3.73
Monkey Business,Sarah Mlynowski,3.67
Frogs & French Kisses (Magic in Manhattan  #2),Sarah Mlynowski,3.97
Big Anthony and the Magic Ring,Tomie dePaola,4.10
Patrick: Patron Saint of Ireland,Tomie dePaola,4.08
The Rattle-Rat,Janwillem van de Wetering,3.97
Robert Van Gulik: His Life His Work,Janwillem van de Wetering/Arthur P. Yin,3.57
Revolutionary Girl Utena  Vol. 2: To Plant,Chiho Saito,4.00
Revolutionary Girl Utena  Vol. 3: To Sprout,Chiho Saito/Be-Pas,4.05
Revolutionary Girl Utena  Vol. 4: To Bud,Chiho Saito,4.06
Revolutionary Girl Utena  Vol. 5: To Blossom,Chiho Saito/Lillian Olsen/Be-Papas,4.02
The Enneads,Plotinus/Stephen MacKenna/John M. Dillon,4.06
Ennead IV (Plotinus IV),Plotinus/A.H. Armstrong,4.52
Anaximander  Heraclitus  Parmenides  Plotinus  Lao-Tzu  Nagarjuna (from Great Philosophers 2),Karl Jaspers/Ralph Manheim,3.92
The Cultural Cold War: The CIA and the World of Arts and Letters,Frances Stonor Saunders,4.01
Trust Fund,Stephen W. Frey,3.72
The Chairman (Christian Gillette  #1),Stephen W. Frey,3.98
The Mystery of the Ancient Pyramid: Cairo  Egypt (Around the World in 80 Mysteries),Carole Marsh,3.61
The Mystery in the Rocky Mountains,Carole Marsh,3.73
The Mystery on the Mighty Mississippi,Carole Marsh,3.50
Medal of Honor: Rising Sun (Prima's Official Strategy Guide),Mark Cohen,3.67
The Elder Scrolls IV: Oblivion -- Revised & Expanded (Xbox360  PC) (Prima Official Game Guide),Peter Olafson,4.29
Social Intelligence: The New Science of Human Relationships,Daniel Goleman,3.98
The Power of Truth: A Leading with Emotional Intelligence Conversation with Warren Bennis,Daniel Goleman/Warren Bennis,3.82
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,4.01
Healing Emotions: Conversations with the Dalai Lama on Mindfulness  Emotions  and Health,Daniel Goleman,4.04
The MacMillan Bible Atlas,Yohanan Aharoni/Michael Avi-Yonah,4.32
Paris 1919: Six Months that Changed the World,Margaret MacMillan/Richard Holbrooke,4.08
Scripta Minora: Hiero/Agesilaus/Constitution of the Lacedaemonians/Ways & Means/Cavalry Commander/Art of Horsemanship/On Hunting/Constitution of the Athenians,Xenophon/Edgar C. Marchant/G.W. Bowersock,4.00
Primary English: Knowledge and Understanding,Jane Medwell/David Wray,3.87
The Philosophy of Hegel,Georg Wilhelm Friedrich Hegel/Carl Joachim Friedrich,3.37
Wissenschaft der Logik: Die Lehre Vom Begriff (1816),Georg Wilhelm Friedrich Hegel,4.78
Existentialism from Dostoevsky to Sartre,Walter Kaufmann,4.08
Anti-Semite and Jew: An Exploration of the Etiology of Hate,Jean-Paul Sartre/Michael Walzer/George J. Becker,3.80
CSS: The Definitive Guide,Eric A. Meyer,4.00
Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),Hiromu Arakawa/Akira Watanabe,4.59
Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2),Makoto Inoue/Hiromu Arakawa/Alexander O. Smith/Rich Amtower,4.57
Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),Hiromu Arakawa/Akira Watanabe,4.60
Programming in C,Stephen G. Kochan,3.96
Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,3.85
Absolute C++,Walter J. Savitch,3.83
The Odyssey,Homer/Edward McCrorie/Richard P. Martin,3.76
The Odyssey (New Translations from Antiquity),Homer/Edward McCrorie/Richard P. Martin,3.76
Bulfinch's Mythology,Thomas Bulfinch/Richard P. Martin,4.10
Teaching Reading Comprehension to Students with Learning Difficulties,Janette K. Klingner/Sharon R. Vaughn/Alison Boardman,3.79
Seven Gothic Tales,Isak Dinesen/Karen Blixen,3.93
Last Tales,Isak Dinesen/Karen Blixen,4.11
Isak Dinesen: The Life of a Storyteller,Judith Thurman,4.06
Out of Africa / Shadows on the Grass,Isak Dinesen/Karen Blixen,4.24
Letters from Africa  1914-1931,Isak Dinesen/Karen Blixen/Frans Lasson/Anne   Born,4.21
Witness,Karen Hesse,3.72
The Cats In Krasinski Square,Karen Hesse/Wendy Watson,4.13
The Music of Dolphins,Karen Hesse,3.82
Verbatim: From the bawdy to the sublime  the best writing on language for word lovers  grammar mavens  and armchair linguists,Erin McKean,3.59
Sisters,Danielle Steel,3.85
The Long Road Home,Danielle Steel,4.00
Three Plays of Euripides: Alcestis/Medea/The Bacchae,Euripides/Paul Roche,3.97
Leadership Challenge,James M. Kouzes,4.05
The Kestrel (Westmark  #2),Lloyd Alexander,3.98
The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1),Richard A. Knaak,3.74
Firedrake (Dragonrealm #1),Richard A. Knaak,3.78
Night of Blood (Dragonlance: The Minotaur Wars  #1),Richard A. Knaak/Margaret Weis,3.91
The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2),Richard A. Knaak,3.91
Children of the Drake (Dragonrealm: Origins  #2),Richard A. Knaak,3.88
Sleeping Beauty Trilogy (Sleeping Beauty  #1-3),A.N. Roquelaure/Anne Rice,3.99
Beauty's Punishment,A.N. Roquelaure/Anne Rice,3.62
The Land of the Dead (Tales from the Odyssey  #2),Mary Pope Osborne/Homer/Troy Howell,3.97
The One-Eyed Giant (Tales from the Odyssey  #1),Mary Pope Osborne/Homer/Troy Howell,3.88
Tsunamis and Other Natural Disasters (Magic Tree House Research Guide  #15),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,4.03
The Final Battle (Tales from the Odyssey  #6),Mary Pope Osborne/Troy Howell,4.08
Ancient Greece and the Olympics (Magic Tree House Research Guide  #10),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,4.05
Ancient Rome and Pompeii (Magic Tree House Research Guide  #14),Mary Pope Osborne/Natalie Pope Boyce/Salvatore Murdocca,4.07
Haunted Castle on Hallows Eve (Magic Tree House #30),Mary Pope Osborne/Salvatore Murdocca,4.04
Earthquake in the Early Morning (Magic Tree House  #24),Mary Pope Osborne/Salvatore Murdocca,3.94
E.E. Cummings: Complete Poems 1904-1962 (Revised  Corrected  and Expanded Edition),E.E. Cummings/George J. Firmage,4.35
Selected Poems,E.E. Cummings/Richard S. Kennedy,4.22
Tulips & Chimneys,E.E. Cummings/Richard S. Kennedy,4.38
Kokopelli: The Magic  Mirth  and Mischief of an Ancient Symbol,Dennis Slifer/R. Carlos Nakai,3.69
The Coal Tattoo,Silas House,4.04
Clay's Quilt,Silas House,3.95
Things Pondered: From the Heart of a Lesser Woman,Beth Moore,4.09
Scholastic Success with 4th Grade Workbook,Terry Cooper,4.12
The Punisher  Vol. 6: Confederacy of Dunces,Garth Ennis,4.00
Thunderbird Falls  (Walker Papers  #2),C.E. Murphy,3.85
Coyote Dreams (Walker Papers  #3),C.E. Murphy,4.00
Savage Anamoly: The Power of Spinoza’s Metaphysics and Politics,Antonio Negri/Michael Hardt,3.96
Time for Revolution,Antonio Negri/Matteo Mandarini,3.70
The Philosophy of Antonio Negri  Volume One: Resistance in Practice,Timothy S. Murphy/Abdul-Karim Mustapha,4.12
Act of Treason (Mitch Rapp  #9),Vince Flynn,4.29
Act of Treason (Mitch Rapp  #9),Vince Flynn,4.29
Act of Treason (Mitch Rapp  #9),Vince Flynn,4.29
President Dad  Volume 2,Ju-Yeon Rhim,3.49
Game of Shadows: Barry Bonds  BALCO  and the Steroids Scandal that Rocked Professional Sports,Mark Fainaru-Wada/Lance Williams,3.81
Dark Water,Kōji Suzuki/Glynne Walley,3.61
Dark Water's Embrace (Mictlan  #1),Stephen Leigh,3.77
In Dark Waters,Mary Burton,3.81
Oswald Chambers  Abandoned to God: The Life Story of the Author of My Utmost for His Highest,David McCasland/Oswald Chambers,4.45
Mandie and the Abandoned Mine (Mandie  #8),Lois Gladys Leppard,3.96
Abandoned Prayers: The Incredible True Story of Murder  Obsession and Amish Secrets,Gregg Olsen,3.79
C++ Programmer's Notebook,Jim Keogh/John Shapley Gray,3.00
The Sibley Field Guide to Birds of Western North America,David Allen Sibley,4.69
The National Geographic Society: 100 Years of Adventure & Discovery,C.D.B. Bryan,4.11
Park Profiles: Grand Canyon Country (Park Profiles),National Geographic Society,4.10
Canada's Incredible Coasts,Donald J. Crump/William R. Gray,3.71
Shout Out Loud! 2,Satosumi Takaguchi,3.95
Shout Out Loud! 5,Satosumi Takaguchi,3.93
Can't Win With You 1,Satosumi Takaguchi/Yukine Honami,3.57
叫んでやるぜ! (1) (あすかコミックスCL-DX),Satosumi Takaguchi/Satosumi Takaguchi,3.68
叫んでやるぜ! (2) (ASUKA COMICS CL-DX),Satosumi Takaguchi/Satosumi Takaguchi,3.95
Soups,Norman Kolpas/Allan Rosenberg/Chuck Williams/Laurie Wertz,3.88
Pies and Tarts,Chuck Williams/Laurie Wertz/John Phillip Carroll,3.82
The Fate of Reason: German Philosophy from Kant to Fichte,Frederick C. Beiser,4.52
Michael's Golden Rules,Deloris Jordan/Roslyn M. Jordan/Michael Jordan/Kadir Nelson,3.93
Confessions of an Actor,Laurence Olivier,3.69
For Lust of Knowing: The Orientalists and Their Enemies,Robert Irwin,3.72
The Arabian Nightmare,Robert Irwin,3.84
The Plot Against America,Philip Roth,3.77
Continental Drift,Russell Banks,3.87
The Darling,Russell Banks,3.78
Affliction,Russell Banks/Pierre Furlan,3.99
Success Stories,Russell Banks,3.72
Cloudsplitter,Russell Banks,3.91
A Multitude of Sins,Richard Ford,3.75
The Custom of the Country,Edith Wharton/Linda Wagner-Martin,4.03
Quicksand,Nella Larsen,3.68
Their Eyes Were Watching God,Zora Neale Hurston/Ruby Dee,3.91
Novels and Stories,Zora Neale Hurston/Cheryl A. Wall,4.37
Plato on Knowledge and Reality,Nicholas P. White,3.67
A Companion to Plato's Republic,Nicholas P. White,3.67
Something Rotten (Thursday Next  #4),Jasper Fforde,4.16
Lost in a Good Book (Thursday Next  #2),Jasper Fforde,4.14
The Well of Lost Plots (Thursday Next #3),Jasper Fforde,4.10
First Among Sequels (Thursday Next  #5),Jasper Fforde,4.02
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91
The Eyre Affair (Thursday Next  #1),Jasper Fforde,3.91
Chop Shop (Bug Man  #2),Tim Downs,4.22
Shoofly Pie (Bug Man  #1),Tim Downs,4.18
RG Veda  Vol. 01,CLAMP,3.72
Augustine,Henry Chadwick,3.71
The Church in Ancient Society: From Galilee to Gregory the Great (History of the Christian Church),Henry Chadwick,4.19
East and West: The Making of a Rift in the Church from Apostolic Times until the Council of Florence (History of the Christian Church),Henry Chadwick,3.88
Satan in Goray,Isaac Bashevis Singer/Jacob Sloan/Ruth R. Wisse,3.85
Lights Out,Peter Abrahams,3.65
Behind the Curtain (Echo Falls  #2),Peter Abrahams,3.90
Red Message,Peter Abrahams,3.12
Her Smoke Rose Up Forever,James Tiptree Jr.,4.21
The Starry Rift,James Tiptree Jr.,3.81
Teaching to Transgress: Education as the Practice of Freedom,bell hooks,4.37
Desde mi cielo,Alice Sebold/Aurora Echevarría,3.81
The Roman Empire,Colin      Wells,3.58
Bitter Is the New Black: Confessions of a Condescending  Egomaniacal  Self-Centered Smartass  Or  Why You Should Never Carry A Prada Bag to the Unemployment Office,Jen Lancaster,3.90
Economics,Paul Krugman/Robin Wells,3.99
Development  Geography  and Economic Theory,Paul Krugman,4.00
Pop Internationalism,Paul Krugman,3.68
An Unquiet Grave (Louis Kincaid  #7),P.J. Parrish,4.13
Island Of Bones (Louis Kincaid  #5),P.J. Parrish,4.02
Dead Of Winter (Louis Kincaid  #2),P.J. Parrish,3.95
Thicker Than Water (Louis Kincaid  #4),P.J. Parrish,4.09
Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,2.83
Pictures Showing What Happens on Each Page of Thomas Pynchon's Novel Gravity's Rainbow,Zak Smith/Steve Erickson,4.10
Sailing the Wine-Dark Sea: Why the Greeks Matter,Thomas Cahill,3.77
The Gospel According to Luke,Anonymous/Thomas Cahill,4.64
The Third Policeman,Flann O'Brien/Denis Donoghue,4.01
The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Thucydides/Robert B. Strassler/Richard Crawley/Victor Davis Hanson,3.90
Six Haunted Hairdos (The Hamlet Chronicles  #2),Gregory Maguire/Elaine Clayton,3.53
Dancing in the Flames: The Dark Goddess in the Transformation of Consciousness,Marion Woodman/Elinor Dickson,4.24
The Complete Book of Home  Site and Office Security: Selecting  Installing and Troubleshooting Systems and Devices,Bill   Phillips,3.50
Pope Joan,Donna Woolfolk Cross,4.08
Pope Joan: Translated & Adapted from the Greek,Emmanuel Rhoides/Lawrence Durrell,3.92
Glass Houses (The Morganville Vampires  #1),Rachel Caine,3.92
The Glass House (Captain Lacey  #3),Ashley Gardner,4.04
Glass House,Philip Johnson/Toshio Nakamura,4.00
The Echo of Greece,Edith Hamilton,4.09
Three Greek Plays: Prometheus Bound/Agamemnon/The Trojan Women,Euripides/Aeschylus/Edith Hamilton,4.06
The Analects,Confucius/D.C. Lau,3.83
The Twentieth Wife (Taj Mahal Trilogy  #1),Indu Sundaresan,4.04
La Emperatriz tras el velo (Trilogía Taj Mahal  #1),Indu Sundaresan/Alberto Coscarelli,4.04
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87
Buddha,Karen Armstrong,3.89
Islam: A Short History,Karen Armstrong,4.02
The Spiral Staircase: My Climb Out of Darkness,Karen Armstrong,3.99
The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93
Muhammad: A Biography of the Prophet,Karen Armstrong,4.15
The Analects of Confucius: A Philosophical Translation,Confucius/Henry Rosemont Jr./Roger T. Ames,3.83
Analects,Confucius/Edward Slingerland,3.83
Hiroshima,John Hersey,3.97
The Wall,John Hersey,4.28
Silent Spring,Rachel Carson/Linda Lear/Edward O. Wilson,3.97
The House of Life: Rachel Carson at Work,Paul Brooks/Rachel Carson,3.95
Under the Sea Wind (Nature Classic),Rachel Carson/Bob Hines,4.14
Black Meets White,Justine Korman Fontes/Geoff Waring,3.50
Back Bay (Peter Fallon  #1),William Martin,3.91
Letters from the Bay of Islands: The Story of Marianne Williams,Marianne Williams/Caroline Fitzgerald,3.72
"Since ""Silent Spring""",Frank  Graham,3.78
A Civil Action,Jonathan Harr,3.97
The Lost Painting,Jonathan Harr,3.74
The Lost Painting,Jonathan Harr,3.74
Gideon's Trumpet: How One Man  a Poor Prisoner  Took His Case to the Supreme Court-And Changed the Law of the United States,Anthony  Lewis,3.91
The Library of Greek Mythology,Apollodorus/Robin Hard,3.98
The Library 1  Books 1-3.9,Apollodorus/James George Frazer,3.93
The Library of Apollodorus: Gods and Heroes of the Greeks,Apollodorus/Selwyn Reginald Cudjoe/Leonard Baskin,3.98
Apollodorus' Library and Hyginus' Myths: Two Handbooks of Greek Mythology,Apollodorus/Hyginus/R. Scott Smith/Stephen M. Trzaskoma,3.98
Mythographi Graeci 1: Apollodori Bibliotheca  Apollodori epitoma  Procli excerpta ex cycli epici carminibus  Pediasmi libellus de duodecim Herculis...Graecorum et Romanorum Teubneriana,Apollodorus/Richard Wagner,0.00
Theogony / Works and Days,Hesiod/M.L. West,3.75
The Works and Days/Theogony,Hesiod,3.75
Theogony/Works and Days/Shield,Hesiod/Apostolos N. Athanassakis,3.97
The Works and Days/Theogony/The Shield of Herakles,Hesiod/Richmond Lattimore,3.97
The Poems,Hesiod/R.M. Frazer/Mary Sue Roniger,3.75
Theogonia  Opera et Dies  Scutum  Fragmenta Selecta (Classical Texts),Hesiod/Friedrich Solmsen/Reinholdo Merkelbach,4.06
Works of Hesiod and the Homeric Hymns,Hesiod/Daryl Hine,3.73
The Georgics of Virgil,Virgil/David Ferry,3.85
The Death of Virgil,Hermann Broch/Jean Starr Untermeyer,4.19
The Eclogues of Virgil,Virgil/David Ferry,3.91
The Art of the Personal Essay: An Anthology from the Classical Era to the Present,Phillip Lopate,4.19
The Art of the Personal Essay: An Anthology from the Classical Era to the Present,Phillip Lopate,4.19
Waterfront: A Walk Around Manhattan,Phillip Lopate,3.71
The DC Comics Encyclopedia,Scott Beatty/Robert Greenberger/Phil Jimenez/Daniel  Wallace,4.29
The Marvel Encyclopedia,Tom DeFalco/Peter Sanderson/Michael Teitelbaum/Daniel  Wallace/Tom Brevoort/Andrew Darling,4.37
Reinventing Jesus: How Contemporary Skeptics Miss the Real Jesus and Mislead Popular Culture,J. Ed Komoszewski/Daniel B. Wallace/M. James Sawyer,4.20
The Great Gatsby,F. Scott Fitzgerald/Matthew J. Bruccoli,3.91
Daniel Deronda,George Eliot/Earl L. Dachslager/George Stade,3.84
King Leopold's Ghost,Adam Hochschild,4.15
The End of Days (The Earth Chronicles  #7),Zecharia Sitchin,4.08
Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,4.15
The Mating Mind: How Sexual Choice Shaped the Evolution of Human Nature,Geoffrey Miller,4.10
The Evolution Of Desire: Strategies of Human Mating,David M. Buss,4.08
Middlesex,Jeffrey Eugenides,4.00
The Liberated Bride,A.B. Yehoshua/Hillel Halkin,3.77
Plan of Attack,Bob Woodward/Alice Mayhew,3.68
The Commanders,Bob Woodward,3.71
Veil: The Secret Wars of the CIA 1981-1987,Bob Woodward,3.67
Shadow: Five Presidents and the Legacy of Watergate,Bob Woodward,3.72
The Brethren: Inside the Supreme Court,Bob Woodward/Scott Armstrong,4.11
Katy and the Big Snow (Book & Cassette),Virginia Lee Burton,4.24
Left Behind (Left Behind  #1),Tim LaHaye/Jerry B. Jenkins,3.83
Armageddon: The Cosmic Battle of the Ages (Left Behind  #11),Tim LaHaye/Jerry B. Jenkins,4.03
Desecration (Left Behind  #9),Tim LaHaye/Jerry B. Jenkins,4.01
Nicolae (Left Behind  #3),Tim LaHaye/Jerry B. Jenkins,3.96
Banker to the Poor: Micro-Lending and the Battle Against World Poverty,Muhammad Yunus/Alan Jolis,4.09
Working with Emotional Intelligence,Daniel Goleman,3.81
On Intelligence,Jeff Hawkins/Sandra Blakeslee,4.12
The Emotional Intelligence Quick Book: Everything You Need to Know to Put Your EQ to Work,Travis Bradberry/Jean Greaves/Patrick Lencioni,3.52
Financial Intelligence: A Manager's Guide to Knowing What the Numbers Really Mean,Karen Berman/Joe Knight/John  Case,4.12
Artificial Intelligence: A Modern Approach,Stuart Russell/Peter Norvig,4.17
"Most Likely to Succeed at Work: How Work Is Just Like High School -- Crib Notes for Getting Along and Getting Ahead Amidst Bullies  Teachers' Pets  Cheerleaders  and Other Members of the ""Class""",Wilma Davidson/Jack   Dougherty,3.45
Walking with the Wind: A Memoir of the Movement,John             Lewis/Michael D'Orso,4.49
Jackie After Jack: Portrait of the Lady,Christopher Andersen/Christopher Andersen,3.95
To Battle the Gods (Jalav  Amazon Warrior  #5),Sharon Green,4.07
A Tale of Love and Darkness,Amos Oz/Nicholas de Lange,4.22
What Went Wrong? The Clash Between Islam & Modernity in the Middle East,Bernard Lewis,3.49
Not Even Wrong: The Failure of String Theory and the Search for Unity in Physical Law,Peter Woit,3.93
Boy  Were  We Wrong About Dinosaurs!,Kathleen V. Kudlinski/S.D. Schindler,3.93
There Is Nothing Wrong with You: Going Beyond Self-Hate,Cheri Huber/June Shiver,4.18
Dead Wrong (Joanna Brady  #12),J.A. Jance,4.04
Sixty Million Frenchmen Can't Be Wrong,Jean-Benoît Nadeau/Julie Barlow,3.74
The Perfect Wrong Note: Learning to Trust Your Musical Self,William Westney,4.24
In the Footsteps of Mr. Kurtz: Living on the Brink of Disaster in Mobutu's Congo,Michela Wrong,3.99
Acts of Faith,Philip Caputo,3.94
Simple Acts of Faith: Heartwarming Stories of One Life Touching Another,Margaret Feinberg/Norman Rockwell,4.36
The Cross From A Distance: Atonement In Mark's Gospel,Peter G. Bolt,3.89
Cults in Our Midst: The Continuing Fight Against Their Hidden Menace,Margaret Thaler Singer/Robert Jay Lifton,3.95
Mortals,Norman Rush,3.74
Whites,Norman Rush,3.77
Hasta que te encuentre,John Irving/Carlos Milla Soler,3.63
Howards End,E.M. Forster/Benjamin DeMott/Regina Marler,3.96
Women  Cats: The History of a Love Affair,Michelle Lovric/Lisa Pentreath,4.23
EULIS! The History of Love,Paschal Beverly Randolph,3.85
Secretos De Familia,Julia Glass,3.57
Accidental Empires,Robert X. Cringely,4.01
The Complete ACOA Sourcebook: Adult Children of Alcoholics at Home  at Work and in Love,Janet Geringer Woititz/Robert J. Ackerman,4.09
Bury the Chains,Adam Hochschild,4.28
Bury the Chains,Adam Hochschild,4.28
On Christian Belief (Works of Saint Augustine),Augustine of Hippo/Boniface Ramsey/Michael Fiedrowicz,4.08
Mary Stewart's Merlin Trilogy (Arthurian Saga  #1-3),Mary  Stewart,4.39
Touch Not the Cat,Mary  Stewart,3.91
The Gabriel Hounds,Mary  Stewart,3.92
The Wicked Day (Arthurian Saga  #4),Mary  Stewart,4.09
The Moonspinners,Mary  Stewart,4.03
This Rough Magic,Mary  Stewart,4.05
Nine Coaches Waiting,Mary  Stewart/Sandra Brown,4.03
Airs Above the Ground,Mary  Stewart,4.05
Madam  Will You Talk?,Mary  Stewart,4.05
The Night of Wishes,Michael Ende/Heike Schwarzbauer/Rick Takvorian/Regina Kehn/Regina Jehn,4.12
Mirror in the Mirror,Michael Ende/J. Maxwell Brownjohn,4.14
The Greek's Royal Mistress (Princess Brides  #2),Jane Porter,3.69
La Cantatrice chauve / La Leçon,Eugène Ionesco,3.90
Death of a Perfect Wife (Hamish Macbeth  #4),M.C. Beaton,3.81
Cold Sleep (Cold Series #1),Narise Konohara/Nanao Saikawa/Douglas W. Dlin,3.73
The Restless Sleep: Inside New York City's Cold Case Squad,Stacy Horn,3.49
L'Étranger,Albert Camus,3.98
La caída,Albert Camus/Manuel de Lope,4.04
Le Premier homme,Albert Camus/Catherine Camus,3.96
Noces,Albert Camus,3.65
How to Be a Perfect Stranger: The Essential Religious Etiquette Handbook,Stuart M. Matlins,3.95
The Basic Political Writings,Jean-Jacques Rousseau/Donald A. Cress/Peter Gray,3.87
Henri Rousseau: Jungles in Paris,Christopher   Green/Frances Morris/Nancy Ireson/Claire Freches-Thory,4.06
Julie  or the New Heloise,Jean-Jacques Rousseau/Philip Stewart/Jean Vache,3.46
Anesthesiology Review,Ronald J. Faust/Roy F. Cucchiara/Denise J. Wedel/C. Thomas Wass/Stephen H. Rose/Thomas N. Spackman,3.67
Faust  Part Two,Johann Wolfgang von Goethe/Philip Wayne,3.73
The Jew of Malta,Christopher Marlowe/H. Havelock Ellis,3.60
The Trumpeter of Krakow,Eric P. Kelly/Janina Domanska,3.76
Numerical Recipes in C: The Art of Scientific Computing,William H. Press/Saul A. Teukolsky/William T. Vetterling/Brian P. Flannery,4.16
Numerical Recipes Example Book C++: The Art of Scientific Computing,William T. Vetterling/William H. Press/Saul A. Teukolsky,3.25
Numerical Recipes: Example Book C,William T. Vetterling/Saul A. Teukolsky/William H. Press/Brian P. Flannery,3.75
Eugene Onegin,Alexander Pushkin/James E. Falen,4.09
Eugene Onegin,Alexander Pushkin/Charles Johnston/Michael Basker/John Bayley,4.09
Eugene Onegin,Alexander Pushkin/Charles Johnston/John Bayley,4.09
Eugene Onegin,Alexander Pushkin/Walter W. Arndt,4.09
Eugene Onegin: A Novel in Verse (Vol. 1),Alexander Pushkin/Vladimir Nabokov,4.09
Eugene Onegin  Vol. II (Commentary),Alexander Pushkin/Vladimir Nabokov,4.38
Eugene Onegin: A Novel in Verse,Alexander Pushkin/Douglas R. Hofstadter,4.09
Eugene Onegin,Alexander Pushkin/Tom Beck,4.09
Data Structures and Algorithms in Java,Michael T. Goodrich/Roberto Tamassia,3.83
Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,3.87
Data Structures and Algorithms in C++,Adam Drozdek,3.80
Data Structures and Abstractions with Java,Frank M. Carrano/Walter J. Savitch,3.47
Data Structures and Algorithm Analysis in C,Mark Allen Weiss,3.85
Data Structures and Algorithms in C++,Adam Drozdek,3.80
Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,Robert Sedgewick,4.16
Savage Stone Age Sticker Book (Horrible Histories),Terry Deary,4.00
The Girl  the Dragon  and the Wild Magic (Rhianna  #1),Dave Luckett,3.86
Wildfire (Drinker of Souls: Wild Magic  #2),Jo Clayton,3.72
A Sudden Wild Magic,Diana Wynne Jones,3.75
Wild Magic (Drinker of Souls: Wild Magic  #1),Jo Clayton,3.71
Exile's Children (Exiles  #1),Angus Wells,3.54
Lords of the Sky,Angus Wells,3.94
On a Dark Night I Left My Silent House,Peter Handke/Krishna Winston,3.27
Selected Writings,Augustine of Hippo/Emilie Griffin/Mary T. Clark/Francine du Plessix Gray,4.29
The Essential Augustine,Augustine of Hippo/Vernon J. Bourke,3.69
A Mortal Bane (Magdalene La Batarde  #1),Roberta Gellis,3.90
Crimes Against Nature: How George W. Bush and His Corporate Pals Are Plundering the Country and Hijacking Our Democracy,Robert F. Kennedy Jr.,4.08
A Lie and a Libel: The History of the Protocols of the Elders of Zion,Binjamin W. Segel/Richard S. Levy/Sergei Nilus,3.30
Citizen X: Killer Department,Robert Cullen,4.01
A Mulligan for Bobby Jobe: A Novel,Bob Cullen,3.32
Close Range,Annie Proulx,3.99
Accordion Crimes,Annie Proulx,3.59
Heart Songs and Other Stories,Annie Proulx,3.94
Cider,Annie Proulx/Lew Nichols,3.64
Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment,Martin E.P. Seligman,3.95
Shamanism: Archaic Techniques of Ecstasy,Mircea Eliade/Wendy Doniger/Willard R. Trask,4.22
Images and Symbols: Studies in Religious Symbolism,Mircea Eliade/Philip Mairet,4.16
The Myth of the Eternal Return or  Cosmos and History,Mircea Eliade/Willard R. Trask,4.24
Youth Without Youth & Other Novellas (Romanian Literature & Thought in Translation),Mircea Eliade/Mac L. Ricketts/Matei Călinescu,3.92
Bengal Nights,Mircea Eliade/Catherine Spencer,3.93
Myth and Reality,Mircea Eliade/Willard R. Trask,4.08
Dark Intimacy: Hope for Those in Difficult Prayer-Experiences,David J. Hassel,4.00
As Eve Said to the Serpent: On Landscape  Gender  and Art,Rebecca Solnit,4.09
River of Shadows: Eadweard Muybridge and the Technological Wild West,Rebecca Solnit,4.15
Wanderlust: A History of Walking,Rebecca Solnit,3.92
Storming the Gates of Paradise: Landscapes for Politics,Rebecca Solnit,4.21
Situationist International Anthology: Revised and Expanded Edition,Ken Knabb,4.26
Leaving the 20th Century: The Incomplete Work of the Situationist International,Chris Gray/Larry  Law,4.10
Barrel Fever and Other Stories,David Sedaris/Amy Sedaris,3.79
The Birth of Venus,Sarah Dunant,3.81
One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07
Gabriel García Márquez: One Hundred Years of Solitude,Michael  Wood,4.54
Far Afield,Susanna Kaysen,3.81
The Steps (Steps  #1),Rachel Cohn,3.58
The Know-It-All: One Man's Humble Quest to Become the Smartest Person in the World,A.J. Jacobs,3.76
The Eden Express: A Memoir of Insanity,Mark Vonnegut/Kurt Vonnegut Jr.,3.87
A Wicked Gentleman (Cavendish Square  #1),Jane Feather,3.62
A Picture Book of Thomas Jefferson (Picture Book Biographies) (Picture Book Biography),David A. Adler/John Wallner/Alexandra Wallner,3.75
Bound In Blood: The Erotic Journey of a Vampire,David Thomas Lord,3.35
On Vital Reserves,William  James/Stephen Vicchio,4.50
